"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","5.0","07/03/2026","Assistant Manager","Permanent","Current Employee","Mumbai","","","","4.0","5.0","5.0","4.0","4.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Mining","2.0","05/03/2026","Assistant Manager","Permanent","Current Employee","Barbil","","","","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","5.0","18/03/2026","Diploma Mechanical Engineer","Permanent","Current Employee","Pen","","","Monday to Saturday ,","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations / Strategy","4.0","17/03/2026","Shift Incharge","Permanent","Current Employee","Raigad","Training for skill development","Plant Stop so payment decrease also temporary transfer other site","Monday to Saturday ( Strict Timings ) , This is a desk job.","4.0","2.0","3.0","3.0","4.0","4.0","2.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Production & Manufacturing","5.0","16/03/2026","Engineer","Permanent","Current Employee","Anjar","Fantastic.","Nothing.","Monday to Saturday ( Flexible Timings ) , This is a desk job.","5.0","4.0","4.0","4.0","5.0","5.0","4.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Production","4.0","16/03/2026","Manager","Permanent","Current Employee","Mumbai","Growth","Accomodation","Monday to Saturday ( Flexible Timings ) , This job involves Travel Within Country , Travel Within City .","4.0","4.0","5.0","4.0","4.0","4.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Procurement & Purchase","4.0","15/03/2026","Assistant Manager","Permanent","Current Employee","Jharsuguda","","","Monday to Saturday ( Strict Timings ) , This is a desk job.","3.0","4.0","4.0","4.0","4.0","3.0","3.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Engineering","3.0","14/03/2026","Senior Engineer","Permanent","Current Employee","Ballari","","Work life balance","Monday to Saturday ( Strict Timings ) , This job involves Travel Within City .","3.0","3.0","3.0","2.0","3.0","3.0","3.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Accounting & Taxation","4.0","14/03/2026","Manager","Permanent","Current Employee","Mumbai","","","Monday to Friday ( Strict Timings ) , This is a desk job.","4.0","3.0","5.0","4.0","4.0","5.0","3.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","3.0","13/03/2026","Shift Incharge","Permanent","Current Employee","Ballari","Good working culture, High skill development programmes.","Low increment, slow talent recognition,.","Rotational Shift ( Flexible Timings ) , This is a desk job.","3.0","2.0","5.0","4.0","4.0","3.0","3.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
